pdf_id,pdf_filename,local_path,sha256,paper_title,authors,year,venue,version,relevance_screening,pass_reason,analysis_file,status,page_count,duplicate_of,version_note,screening_reason,doi,arxiv,screening_source_location,read_scope,source_type,sort_index
B016,"Deng 등 - 2025 - Coarse-to-Fine Robotic Pushing Using Touch, Vision and Proprioception.pdf","260918/Deng 등 - 2025 - Coarse-to-Fine Robotic Pushing Using Touch, Vision and Proprioception.pdf",a1b55c26c1ec3b0e73fd3ae75e29a4b11fe4e5d42210a94ed35a84da696ab9ec,"Coarse-to-Fine Robotic Pushing Using Touch, Vision and Proprioception",Bowen Deng; Yijiong Lin; Max Yang; Nathan F. Lepora,2025,IEEE Robotics and Automation Letters 10(2):1545–1552,Publisher version; issue February 2025; online publication 2024-12-04,Relevant,Not applicable,papers/2025-deng-coarse-to-fine-robotic-pushing.md,completed,8,Not applicable,2025 권호를 year로 사용. Online publication은 2024이며 선택 PDF에 두 날짜가 모두 명시됨.,물체 local contact pose를 3개 성분으로 축약한 tactile estimator와 proprioception을 결합해 pushing한다. 이 표현에서 없는 물체 전체 위치·방향 및 초기 접근 정보는 vision의 단계별 재위치 추정과 bounding rectangle로 보완한다. Multi-stage와 single-stage 비교가 있지만 tactile-only/vision-only 센서 제거 실험과는 다르다.,10.1109/LRA.2024.3511378,Not stated,"Abstract/§I, PDF p.1; §III-A–C, pp.3–4",본문·Related Work·Method·실험·Discussion·References pp.1–8을 확인했다. Table III/IV가 있는 PDF p.6을 렌더링 검수했다. 외부에서 인용한 controller/GAN 논문은 이번 PDF의 상세 명세로 채워 넣지 않았다.,Research paper,16
B017,Dengler 등 - 2025 - Learning Goal-Directed Object Pushing in Cluttered Scenes With Location-Based Attention (2).pdf,260918/Dengler 등 - 2025 - Learning Goal-Directed Object Pushing in Cluttered Scenes With Location-Based Attention (2).pdf,bfb651b2b02d330d2ea70e8021143dee6ab4a5036d520a952db3dca8a9e29584,Learning Goal-Directed Object Pushing in Cluttered Scenes With Location-Based Attention,Nils Dengler; Juan Del Aguila Ferrandis; João Moura; Sethu Vijayakumar; Maren Bennewitz,2025,IROS 2025,Publisher version,PASS,"Object/target pose와 occupancy grid를 제공한 pushing에서 location-based attention을 비교하는 연구다. LSTM의 hidden friction/inertia에 대한 일반적 설명은 있으나 tactile/F/T, pose 부재 보완 또는 접촉 정보의 모달리티별 역할을 직접 조사하지 않아 PASS.",Not applicable,passed,7,Not applicable,B017/B018의 DOI·제목·7쪽 본문 일치. 전체 추출문에서 다운로드 권한 footer 행을 제외하면 동일하며 Method/실험 변경 없음. SHA-256은 다르므로 동일 파일 해시가 아닌 같은 출판본 복사본으로 판정.,"Object/target pose와 occupancy grid를 제공한 pushing에서 location-based attention을 비교하는 연구다. LSTM의 hidden friction/inertia에 대한 일반적 설명은 있으나 tactile/F/T, pose 부재 보완 또는 접촉 정보의 모달리티별 역할을 직접 조사하지 않아 PASS.",10.1109/IROS60139.2025.11246809,Not stated,"Title/Abstract/§I, PDF p.1; Fig.2/§III-A–B, p.3",Title/abstract/introduction·method overview·observation을 screening; PASS 후 상세 노트 없음. 중복 확인용 전체 페이지 텍스트 비교.,Research paper,17
B018,Dengler 등 - 2025 - Learning Goal-Directed Object Pushing in Cluttered Scenes With Location-Based Attention.pdf,260918/Dengler 등 - 2025 - Learning Goal-Directed Object Pushing in Cluttered Scenes With Location-Based Attention.pdf,59fb2e3006d34140b738f2608f061f1c1cf7c57d01fdc61c836cec8ae47c1061,Learning Goal-Directed Object Pushing in Cluttered Scenes With Location-Based Attention,Nils Dengler; Juan Del Aguila Ferrandis; João Moura; Sethu Vijayakumar; Maren Bennewitz,2025,IROS 2025,Publisher version,duplicate,"Object/target pose와 occupancy grid를 제공한 pushing에서 location-based attention을 비교하는 연구다. LSTM의 hidden friction/inertia에 대한 일반적 설명은 있으나 tactile/F/T, pose 부재 보완 또는 접촉 정보의 모달리티별 역할을 직접 조사하지 않아 PASS.",Not applicable,duplicate,7,B017,B017/B018의 DOI·제목·7쪽 본문 일치. 전체 추출문에서 다운로드 권한 footer 행을 제외하면 동일하며 Method/실험 변경 없음. SHA-256은 다르므로 동일 파일 해시가 아닌 같은 출판본 복사본으로 판정.,"Object/target pose와 occupancy grid를 제공한 pushing에서 location-based attention을 비교하는 연구다. LSTM의 hidden friction/inertia에 대한 일반적 설명은 있으나 tactile/F/T, pose 부재 보완 또는 접촉 정보의 모달리티별 역할을 직접 조사하지 않아 PASS.",10.1109/IROS60139.2025.11246809,Not stated,"Title/DOI, PDF p.1; §III-B observation, p.3; B017과 전체 텍스트 비교",B017과 동일 출판본 복사본 확인. 별도 정독/분석 노트 없음.,Research paper,18
B019,Fang 등 - 2026 - Force Policy Learning Hybrid Force-Position Control Policy under Interaction Frame for Contact-Rich.pdf,260918/Fang 등 - 2026 - Force Policy Learning Hybrid Force-Position Control Policy under Interaction Frame for Contact-Rich.pdf,32f6abdeacef110e29c8239bb80afc1b997dce84937a765b55260e00c7b82034,Force Policy: Learning Hybrid Force-Position Control Policy under Interaction Frame for Contact-Rich Manipulation,Hongjie Fang; Shirun Tang; Mingyu Mei; Haoxiang Qin; Zihao He; Jingjing Chen; Ying Feng; Chenxi Wang; Wanxi Liu; Zaixing He; Cewu Lu; Shiquan Wang,2026,Not stated (arXiv preprint),arXiv v2; 9 May 2026,Relevant,Not applicable,papers/2026-fang-force-policy.md,completed,24,Not applicable,선택 파일 1개; 실제 읽은 PDF 버전 기준,"손목/플랜지 F/T와 운동 이력으로 접촉 제어 좌표계와 힘·위치 제어 축을 구성한다. 동일한 힘·운동 신호만으로 마찰과 탄성 변형을 구별하기 어려워 시각·과업 의미 정보를 학습 라벨 생성에 추가한다. F/T의 정보적 한계와 추가 가정, 시각과 힘의 실행 역할을 직접 비교할 수 있다.",Not stated,2602.22088v2,Abstract/Introduction pp.1–2; §III–IV pp.3–6,본문 pp.1–9 및 포함된 Supplement pp.13–24를 읽었다. 핵심 Table II–VI 및 Fig.5–9를 PDF 렌더로 확인했다.,Research paper,19
B020,Ferrandis 등 - 2024 - Learning Visuotactile Estimation and Control for Non-prehensile Manipulation under Occlusions.pdf,260918/Ferrandis 등 - 2024 - Learning Visuotactile Estimation and Control for Non-prehensile Manipulation under Occlusions.pdf,ecfad6c9a5839c38964246df185782ba7dae9b5de6ab8ab8c1ac30dbf5b0baae,Learning Visuotactile Estimation and Control for Non-prehensile Manipulation under Occlusions,Juan Del Aguila Ferrandis; João Moura; Sethu Vijayakumar,2024,8th Conference on Robot Learning (CoRL 2024),arXiv v1; 17 December 2024; CoRL manuscript with appendix,Relevant,Not applicable,papers/2024-del-aguila-ferrandis-visuotactile-estimation-occlusions.md,completed,15,Not applicable,선택 파일 1개; 실제 읽은 PDF 버전 기준,가려진 물체의 pose를 force·EEF pose·과거 시각 정보로 추정하고 불확실성까지 RL 정책에 제공한다. Privileged policy를 이용한 데이터 생성과 실제 배포 정책 입력이 명확히 다르다. 제목의 tactile은 여기서 wrist F/T 기반 force feedback이며 별도 촉각 배열과 혼동하지 않아야 한다.,Not stated,2412.13157v1,"Abstract/§1–3, pp.1–4","본문 pp.1–8, Appendix A–B pp.12–15를 읽고 Table 2 및 Fig.2–4를 렌더 확인했다.",Research paper,20
B021,Ge 등 - 2026 - FILIC Dual-Loop Force-Guided Imitation Learning with Impedance Torque Control for Contact-Rich Mani.pdf,260918/Ge 등 - 2026 - FILIC Dual-Loop Force-Guided Imitation Learning with Impedance Torque Control for Contact-Rich Mani.pdf,71230e32ceafefd1ed30f08ad61e855ca4a27e35e6efa12c053f8c555ae070bf,FILIC: Dual-Loop Force-Guided Imitation Learning with Impedance Torque Control for Contact-Rich Manipulation Tasks,Haizhou Ge; Yufei Jia; Zheng Li; Yue Li; Zhixing Chen; Lu Shi; Lei Han; Ruqi Huang; Guyue Zhou,2026,Not stated (arXiv preprint),arXiv v2; 19 June 2026,Relevant,Not applicable,papers/2026-ge-filic.md,completed,8,Not applicable,선택 파일 1개; 실제 읽은 PDF 버전 기준,관절 토크를 digital twin과 Jacobian으로 보정·변환한 EEF wrench의 역할을 조사한다. 동일 시각·EEF position 입력에서 raw joint torque와 estimated force를 비교하므로 접촉 정보 표현의 유용성에 직접적인 근거를 제공한다. 독립 wrist F/T를 사용한 방법과 명확히 구별할 수 있다.,Not stated,2509.17053v2,"Abstract/§I/§IV, pp.1–5",본문 pp.1–7을 전부 읽고 Fig.3–4와 Table I–III를 PDF 렌더 확인했다. p.8은 참고문헌이며 별도 appendix는 없다.,Research paper,21
B022,Georgakis 등 - 2022 - Learning to Map for Active Semantic Goal Navigation.pdf,260918/Georgakis 등 - 2022 - Learning to Map for Active Semantic Goal Navigation.pdf,b4e878cad3c07a526e4b1b407a73d7eb0acd69de5b1e2e38a2fb3bf0da6cd1b0,Learning to Map for Active Semantic Goal Navigation,Georgios Georgakis; Bernadette Bucher; Karl Schmeckpeper; Siddharth Singh; Kostas Daniilidis,2022,ICLR 2022,"arXiv v2, 2022-03-08",PASS,"RGB-D 기반 semantic map과 uncertainty를 이용한 object-goal navigation 연구다. 접촉 조작, tactile/F/T 또는 조작 중 물체 정보 보완을 다루지 않아 PASS.",Not applicable,passed,19,Not applicable,선택 파일 1개; 다른 버전 미검토,"RGB-D 기반 semantic map과 uncertainty를 이용한 object-goal navigation 연구다. 접촉 조작, tactile/F/T 또는 조작 중 물체 정보 보완을 다루지 않아 PASS.",Not stated,2106.15648v2,"Title/Abstract/§1, PDF p.1; §3 Approach/§3.1, p.3",Title/abstract/introduction 및 RGB-D mapping/navigation pipeline을 screening; PASS 후 상세 분석 없음.,Research paper,22
B023,Han 및 Kim - 2023 - Proprioceptive Sensor-Based Simultaneous Multi-Contact Point Localization and Force Identification f.pdf,260918/Han 및 Kim - 2023 - Proprioceptive Sensor-Based Simultaneous Multi-Contact Point Localization and Force Identification f.pdf,bd15b5edddee5ad6286c6e43e39c089ba0ceae9072a3d27effa9c78ad08cb9b0,Proprioceptive Sensor-Based Simultaneous Multi-Contact Point Localization and Force Identification for Robotic Arms,Seo Wook Han; Min Jun Kim,2023,Not stated (arXiv preprint),arXiv v1; 7 March 2023,Relevant,Not applicable,papers/2023-han-proprioceptive-multi-contact-localization.md,completed,7,Not applicable,선택 파일 1개; 실제 읽은 PDF 버전 기준,"조작 정책은 아니지만 joint torque와 base F/T를 이용한 접촉점·접촉력 추정의 성립 조건과 모호성을 직접 분석한다. Robot surface mesh, dynamics, 순차적 점 접촉 등의 추가 제약을 요구하며 base F/T를 더해도 singularity가 남는 실패 사례를 제시한다.",Not stated,2303.03903v1,"Abstract/§I–II, pp.1–3",본문 pp.1–6을 읽고 Table I–III와 Fig.5–6를 렌더 확인했다. p.7은 참고문헌; 관련 appendix 없음.,Research paper,23
B024,Handa 등 - 2020 - DexPilot Vision-Based Teleoperation of Dexterous Robotic Hand-Arm System.pdf,260918/Handa 등 - 2020 - DexPilot Vision-Based Teleoperation of Dexterous Robotic Hand-Arm System.pdf,5f770721c6bd8a076083aa80e0e751832bd23f0a8eff867baeaf41ac95c6f8ff,DexPilot: Vision-Based Teleoperation of Dexterous Robotic Hand-Arm System,Ankur Handa; Karl Van Wyk; Wei Yang; Jacky Liang; Yu-Wei Chao; Qian Wan; Stan Birchfield; Nathan Ratliff; Dieter Fox,2020,ICRA 2020,Publisher version,PASS,"시각으로 사람 손을 추적해 retargeting하는 teleoperation 연구다. BioTac은 장착·데이터 수집용으로 설명되지만 실행은 촉각 피드백 없이 사람의 시각·공간 추론에 의존하며, tactile/F/T 정보 보완 구조를 검증하지 않아 PASS.",Not applicable,passed,7,Not applicable,선택 파일 1개; 다른 버전 미검토,"시각으로 사람 손을 추적해 retargeting하는 teleoperation 연구다. BioTac은 장착·데이터 수집용으로 설명되지만 실행은 촉각 피드백 없이 사람의 시각·공간 추론에 의존하며, tactile/F/T 정보 보완 구조를 검증하지 않아 PASS.",Not stated,Not stated,"Title/Abstract/§I, PDF p.1; §III Hardware/§IV Architecture, p.2",Title/abstract/introduction·하드웨어·method/input pipeline까지 확인. BioTac 장착을 tactile feedback 사용으로 오인하지 않음; 상세 노트 없음.,Research paper,24
B025,Hansen 등 - 2022 - Visuotactile-RL Learning Multimodal Manipulation Policies with Deep Reinforcement Learning.pdf,260918/Hansen 등 - 2022 - Visuotactile-RL Learning Multimodal Manipulation Policies with Deep Reinforcement Learning.pdf,158c8174d4647386453f85cd6eb790d810331502b747cd06e078b538f95b270a,Visuotactile-RL: Learning Multimodal Manipulation Policies with Deep Reinforcement Learning,Johanna Hansen; Francois Hogan; Dmitriy Rivkin; David Meger; Michael Jenkin; Gregory Dudek,2022,"IEEE ICRA 2022, pp.8298–8304",IEEE publisher version,Relevant,Not applicable,papers/2022-hansen-visuotactile-rl.md,completed,7,Not applicable,선택 파일 1개; 실제 읽은 PDF 버전 기준,시각·촉각·proprioception 조합과 tactile gate/augmentation을 비교하여 각 modality가 어떤 조건에서 유용한지 조사한다. Binary contact gate는 존재하지만 촉각 자체는 연속 depth image여서 축약 촉각과 혼동하지 않아야 한다. 시각 교란 및 물성 변화 실험이 추가 센서 역할의 근거를 제공한다.,10.1109/ICRA46639.2022.9812019,Not stated,"Abstract/§I/§IV–V, pp.1–5",본문 pp.1–6을 읽고 핵심 Table I를 렌더 확인했다. p.7은 참고문헌; 관련 appendix 없음.,Research paper,25
