paper_id,title,authors,year,venue,relevance_class,relevance_reason,task,method_category,algorithm,robot,action,low_level_controller,vision_used,object_position_condition,object_orientation_condition,object_pose_source,object_shape_condition,object_shape_source,object_physical_parameters,tactile_used,tactile_sensor,tactile_raw,tactile_preprocessing,tactile_representation,tactile_retained_information,tactile_removed_information,ft_used,ft_source,ft_representation,ft_role,proprioception_used,history_used,previous_action_used,state_estimator,other_observation,missing_object_information,supplementary_information,supplementary_information_role,actor_privileged_gt,critic_privileged_gt,reward_gt,termination_gt,curriculum_gt,ft_contact_localization,ft_required_assumptions,ft_reported_ambiguity,tactile_added_to_ft_reason,evidence_type,evidence_summary,evidence_location,author_limitation,author_future_work,analysis_note_path
B066,Beyond Binary: Sim-to-Real Dexterous Manipulation with Physics-Grounded Contact Representation,Jiahe Pan; Stelian Coros; Jitendra Malik; Toru Lin,2026,arXiv preprint,Relevant,"Binary tactile가 힘 크기와 접촉 위치를 버리는 문제를 직접 비교하고, 3D force와 3D contact position을 보존하는 CoP 표현이 blind manipulation을 어떻게 개선하는지 실험한다. Actor의 proprioception·previous action·recurrent history와 critic/reward의 simulator GT를 분리할 수 있어 본 Review 질문에 직접적인 근거를 제공한다.",Blind peg-in-hole insertion; blind ball balancing,Reinforcement Learning; Sim-to-real,Asymmetric recurrent PPO,16-DOF Allegro hand with XELA uSkin,16D target joint-position increments,EMA-smoothed joint targets tracked by PD,No at runtime; used only for sensor-delay measurement/analysis,미제공,미제공,Actor none; simulator GT for critic/reward only,미제공,No runtime shape input; diverse fixed training/evaluation assets,Actor No; mass/friction domain-randomized and critic/probe metadata,Yes,XELA uSkin 3-axis taxel arrays on fingertips/phalanges/palm,Distributed 3-axis taxel forces,Taxel calibration; stress-distribution mapping; threshold; sim-real alignment; noise/delay,Per-array CoP: 3D force + 3D contact position; normal force only in experiments,Contact presence; resultant force; local contact location; temporal change through GRU,Distributed patch and sensor detail; experimental shear; global object state,No wrist F/T; tactile-derived contact force only,XELA tactile taxels,3D CoP force; magnitude/vector baselines; normal-only deployment,Policy observation; contact/load feedback,Yes; current and commanded joint angles,Yes; GRU hidden state,Yes,Implicit recurrent policy state; no explicit object estimator,Contact representation; current/commanded joints,Current object pose; shape; mass/friction,Tactile CoP; proprioception; previous action; recurrent state,Infer contact transitions and hidden object dynamics,No,Yes; object/plate/ball states and goal terms,Yes; simulator object/contact/task state,Yes; goal/fall conditions,Not stated; domain randomization used,"Tactile CoP provides local sensor-frame contact location, not wrist-wrench localization",Calibrated taxel geometry; stress distribution; resultant single-force/centroid approximation,CoP discards distributed detail; shear removed; sim-real contact mismatch,Not an F/T+tactile system; CoP jointly retains local force and spatial contact location,Representation ablation; Controlled comparison,CoP beats binary/raw taxel on insertion; vec/pos split shows complementary role; task-dependent benefit on balancing,Tables 1–2 pp.6–7; Fig.12 p.15,CoP abstraction; no shear; simulator contact mismatch; fixed-base/XELA scope (§6 p.8),"Arm-hand, full-hand/other sensors, imitation and real-world RL (§6 p.8)",papers/2026-pan-beyond-binary-cop-tactile.md
B067,Identifying External Contacts from Joint Torque Measurements on Serial Robotic Arms and Its Limitations,Tao Pang; Jack Umenberger; Russ Tedrake,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),Partially Relevant,Manipulation policy가 아니라 joint-torque-only contact localization의 성립 가정과 근본 ambiguity를 정량 분석한다. 본 Review의 두 번째 핵심 질문인 F/T 또는 wrench만으로 contact locality를 어디까지 복원할 수 있는지에 직접적인 제한 근거를 제공한다.,External contact detection/localization on serial robot arms,State Estimation + Optimization,Contact-force QP; rejection sampling; manifold gradient descent; MILP active discrimination,KUKA IIWA and UR5 geometry analysis,Optional small joint motion for active contact discrimination,Not specified; linearized joint displacement plan,No,미제공,미제공,"Not applicable; estimates robot-surface contact point, not object pose",기타,Known robot surface triangle mesh; no manipulated-object shape,Known/assumed friction cone; robot dynamics,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes; joint-torque-derived external residual,Joint torque sensors and external torque observer,Residual joint torque vector; candidate contact force/residual,Contact detection and contact-location/force set estimation,Yes; joint angles and residual torques,Yes only across active discrimination observations; no recurrent model,Active discrimination motion known; otherwise No,RSGD contact candidate set; optional active falsification,"Known kinematics, surface mesh, normals, friction cone",Object pose/shape; unique contact locality,Known robot geometry/kinematics; contact constraints; active motion,Constrain candidate set and falsify torque-equivalent contacts,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Yes, but returns multiple possible robot-surface contacts",Single contact; negligible contact moment; known surface/kinematics/friction cone; static contact for active step,Multiple positions/forces can produce the same torque; undetectability near joint axes; noise/geometry/singularity dependence,No tactile fusion evaluated; paper argues more capable sensing may be required,Controlled comparison; Failure analysis; Runtime analysis,Geometry-dependent detectability and multiple minima quantified; RSGD around 10 Hz; active motion not always feasible,Figs.3–5 pp.3–4; §VI–VII pp.5–6,"Non-unique/undetectable contacts, single-contact assumptions, local minima and active-motion failure (§I/IV–VIII)",No formal section; deployment needs residual filtering/bias correction and possibly richer sensors (§VIII p.6),papers/2021-pang-external-contact-joint-torque-limitations.md
B069,Learning Force Control for Legged Manipulation,Tifanny Portela; Gabriel B. Margolis; Yandong Ji; Pulkit Agrawal,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),Partially Relevant,"Blind sweeping과 task는 다르지만, end-effector F/T 없이 proprioception history와 privileged-state estimator로 external force를 추정하고 force-control policy를 구성한다. 실행 센서와 training-only force GT/critic state를 분리해 object/contact 정보 부족을 보완하는 사례로 유용하다.","Whole-body locomotion, EEF position and commanded force control",Reinforcement Learning; State Estimation,PPO with concurrent supervised privileged-state estimator,Unitree B1 quadruped + Unitree Z1 arm,17 joint-position targets,Joint PD,No,미제공,미제공,No object pose; estimated gripper pose is robot state,미제공,No,No object parameter input,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No runtime F/T; learned force estimate,Estimated from joint encoders/body IMU/action history; dynamometer only for evaluation,3D external gripper force estimate and 3D command,"Force tracking, compliance and actor state estimate","Yes; projected gravity, feet clock, joint positions/velocities, actions",Yes; 30-step observations and commands,Yes; current and previous action in each observation,"Supervised MLP for body velocity, gripper position, external force",Force/EEF/base commands; mode bit,"Current object pose, geometry, physical parameters, contact locality",Proprioceptive/IMU/action history; force command; learned privileged-state estimate,Estimate external load and regulate compliance/force without F/T,No; uses estimator output,"Yes; true body velocity, gripper position, external force",Yes; simulator actual force/pose/contact state,Yes; collision/body height,Not stated,No,Sim-trained estimator transfers; known robot sensing; soft-contact training task,No locality; estimator overshoot/sim-real gap; policy may underuse estimated force,Not applicable; no tactile or F/T fusion,Controlled evaluation; Author demonstration only,5–10 N tracking error; force estimate overshoot; whole-body workspace +59%; payload compliance degrades at 6 kg,§V/Figs.3–5 pp.4–6,~5 cm/~5 N precision and unknown source; force estimate sim-real gap (§V–VI),Imitation from kinesthetic data; model-guided policies (§VI p.6),papers/2024-portela-learning-force-control-legged-manipulation.md
B071,CONTACT: CONtact-aware TACTile Learning for Robotic Disassembly,Yosuke Saka; Jyun-Chi Hu; Adeesh Desai; Zhiyuan Zhang; Bihao Zhang; Quan Khanh Luu; Md Rakibul Islam Prince; Minghui Zheng; Yu She,2026,arXiv preprint,Relevant,"Vision-only, Vision+raw tactile RGB, Vision+structured tactile force field를 동일 diffusion-policy 조건에서 직접 비교한다. Tactile이 vision의 접촉 ambiguity를 어떤 spatial force 정보로 보완하는지와 naive sensor fusion이 항상 유리하지 않다는 근거를 rigid/deformable disassembly에서 제공한다.",Rigid and deformable robotic disassembly,Imitation Learning; Diffusion Policy,Multimodal Diffusion Policy with DDIM,Franka Emika Panda with GelSight R1.5,5D relative translation/yaw/gripper action chunks,Not stated,Yes; front and wrist RGB,기타,기타,Implicit in front/wrist RGB; no numeric pose vector,기타,Implicit visual/tactile appearance; no CAD/mesh/category input,No,Yes,GelSight R1.5 on right finger; TacSL simulation,240×160 tactile RGB deformation image,Optical flow + depth reconstruction for TacFF; normalize; ResNet-18,TacRGB or 10×14×3 TacFF normal/shear grid; two-step history,Local deformation or distributed normal/shear spatial pattern and transition,TacFF removes raw optical detail; no whole-object state/wrist wrench/long history,No wrist F/T; tactile force field used,GelSight optical tactile force reconstruction,10×14 grid of shear-x/shear-y/normal,"Contact-state, grasp-quality and directional resistance observation",Yes; EEF 3D position + quaternion,Yes; two observation steps,No,No explicit state estimator,Front RGB; wrist RGB; EEF pose,"Numeric current pose, explicit geometry/material parameters, occluded contact state",Vision; local tactile deformation/force; EEF pose; short history,Global/local geometry plus contact transition and force redistribution,Not applicable; imitation policy,Not applicable,Not applicable,Not applicable; task success used for evaluation,Not applicable,TacFF gives local spatial force cells; no wrist-wrench contact localization,Optical tactile reconstruction and right-finger contact coverage,Naive heterogeneous fusion dilutes task-relevant cues,Not F/T+tactile; tactile adds local contact pattern to vision,Sensor combination ablation; Representation ablation,TacFF best across tasks; largest gains under contact/deformation; dim-light and naive-fusion tests show task dependence,Tables I–V pp.6–7,No formal list; naive TacRGB+TacFF fusion degrades performance (§III-D.2 p.7),Structured multimodal fusion with attention/dedicated encoders (§III-D.2 p.7),papers/2026-saka-contact-tactile-disassembly.md
B072,A Contact-Driven Framework for Manipulating in the Blind,Muhammad Suhail Saleem; Lai Yuan; Maxim Likhachev,2025,arXiv preprint,Relevant,"Vision 없이 joint-torque contact sensing, contact history, learned structural priors와 planning을 결합해 unknown clutter에서 조작한다. Joint-torque localization의 ambiguity와 추가 geometry/kinematic assumptions, sparse contact를 occupancy/history로 보완하는 구조를 직접 분석할 수 있다.",Blind valve reaching/manipulation and cluttered-shelf object retrieval,State Estimation + Planning; Hybrid learned occupancy,Momentum observer; contact particle filter; CNN/diffusion completion; CHS/CMAX Weighted A*,UR10e,Joint-space unit motion primitives with retract/replan on contact,Not stated,No,미제공,미제공,No object pose; contact locations and voxel occupancy estimated online,기타,Partial occupancy from contact history + domain structural predictor,No,No,No tactile skin,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes; joint-torque-derived residual,UR10e joint currents/torques + momentum observer,Residual joint torques; reliable binary contact; CPF particle likelihood/contact force,Whole-arm contact detection/localization and map/replan update,"Yes; joint positions, velocities, torques/currents",Yes; collision/free sweeps and temporal torque window,Yes; executed edge/swept volume,Momentum observer + CPF + link MLP + CNN/diffusion occupancy predictor,Start/goal configurations; known robot geometry; probabilistic voxel occupancy,Obstacle/object pose and geometry; exact contact locality,Contact/free-space history; known robot geometry; learned structural prior; binary-contact fallback,Build/predict occupancy and remain robust to noisy locality,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Yes; noisy robot-surface CPF estimate, 73% within 4 cm",Known robot dynamics/surface/friction; point-contact model; static scene; reliable binary detection,"Multiple contact/force pairs, noise/model error; prediction/localization false positives","No tactile; history, kinematic constraints and learned occupancy add spatial context",Input/module ablation; Controlled comparison,CNN halves task time; CPF refinements +20 points; real CHS+CNN 2–3× faster,Tables I–II p.7; §V-B p.8,"Noisy ambiguous locality, domain prior, slow diffusion, reliable-binary/static assumptions (§II–V)",Text-conditioned occupancy priors with CLIP/FiLM (§VI p.8),papers/2025-saleem-contact-driven-manipulating-blind.md
B073,The Power of the Senses: Generalizable Manipulation from Vision and Touch through Masked Multimodal Learning,Carmelo Sferrazza; Younggyo Seo; Hao Liu; Youngwoon Lee; Pieter Abbeel,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Relevant,High-resolution tactile force maps와 vision을 joint masked-autoencoder representation으로 결합하고 modality/representation/history ablation을 수행한다. Object pose vector 없이 visual/tactile pixels로 조작하는 구조와 tactile이 vision의 occlusion/generalization 부족을 보완하는 근거를 제공한다.,Peg insertion; door opening; in-hand cube rotation,Reinforcement Learning; Self-supervised Representation Learning,PPO + multimodal masked autoencoder (M3L),Robotiq 2F-85 / Franka / Shadow Hand in MuJoCo,"Task-dependent 3D position, delta EEF pose, or 20D hand action",Not stated,Yes; 64×64 RGB,기타,기타,Implicit in RGB/tactile latent; no numeric current pose,기타,Implicit visual/tactile representation; randomized shapes,No actor input; test mass/friction/damping varied,Yes,MuJoCo touch-grid simulated high-resolution tactile sensors,Spatial 3D force maps (2 shear + pressure),Early CNN; 4-frame channel stack; modality/position embeddings; masking and MAE,Shared ViT multimodal latent,Spatial pressure/shear pattern; temporal contact memory; cross-modal relation,No explicit contact force/location/object state; latent compression; no real sensor validation,No wrist F/T; simulated tactile force maps,MuJoCo touch-grid contacts,32×32×3 force maps; 4-frame latent,Policy observation and representation learning,Not stated in provided PDF observation description,Yes; 4 frames,Not stated,No explicit state estimator; implicit multimodal encoder,RGB scene/goal image,"Numeric current pose, shape/physical parameters, vision under occlusion",Tactile pressure/shear; vision; 4-frame history; learned cross-modal latent,"Local contact feedback, global scene context and transient-contact memory",No,No privileged state stated,Yes; simulator object/door task state,Yes; simulator success/failure state,Not stated,"Local force-map cells encode spatial contact, but no explicit contact estimator",Simulator touch-grid/real-force-map abstraction and contact coverage,Tactile sparse outside contact; latent not interpretable; simulation-only,Not F/T+tactile; touch complements vision with local pressure/shear under occlusion,Representation ablation; Sensor ablation; Controlled comparison,M3L improves generalization/sample efficiency; training-only touch benefits vision; 4-frame history beats 1 frame,Figs.5–7 pp.5–6,PPO complexity/exploration; always-on sparse tactile; paired-data scarcity; simulation only (§VII),"Other RL, tactile gating, mixed-scale pretraining and real transfer (§VII)",papers/2024-sferrazza-m3l-vision-touch.md
B074,Proactive Action Visual Residual Reinforcement Learning for Contact-Rich Tasks Using a Torque-Controlled Robot,Yunlei Shi; Zhaopeng Chen; Hongxu Liu; Sebastian Riedel; Chunhui Gao; Qian Feng; Jun Deng; Jianwei Zhang,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),Relevant,"Eye-in-hand vision과 joint-torque-derived 6D force/moment를 역할 분담해 RAM insertion을 수행하고, force를 ternary contact state로 축약한다. Vision/force/active probing ablation이 있어 reduced contact information을 pose tracking과 investigative action이 어떻게 보완하는지 직접 분석할 수 있다.",RAM insertion under target pose/contact uncertainty,Reinforcement Learning; Residual RL; Visual servoing,Tabular Q-learning + PBVS/P-controller + proactive probing,Franka Emika Panda with Intel RealSense D435i,Discrete Cartesian position residual + visual action; 25 N investigative force,Trajectory generator + 1000 Hz Cartesian impedance controller,Yes; eye-in-hand RGB-D PBVS,Tracking,Tracking,Relative current-to-target RGB-D feature registration/ICP,기타,Implicit teach/current image features; no CAD/mesh,No,No,No tactile sensor,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes; joint-torque estimated wrench,Franka joint torque/proprioceptive controller,"Estimated Fx,Fy,Fz,Mx,My,Mz thresholded to -1/0/+1",Contact/stuck state for Q policy and proactive disambiguation,Yes; joint torque and EEF pose,No explicit history/recurrent state,Current action transition only; not observation feature,RGB-D ICP relative pose; thresholded wrench state,Target/current image features; goal pose error,Object physical parameters; precise contact state/locality under threshold ambiguity,Continuous visual pose tracking; estimated wrench sign; proactive force probe,"Global alignment, local contact recovery and active disambiguation",No,Not applicable,No simulator GT; visual/task outcome,No simulator GT; real success/failure/steps,No,"No; wrench threshold gives contact sign/state, not location",Known robot dynamics; contact wrench observable at joints; fixed thresholds; probe safe/effective,Noise/model error and low moment; ternary representation loses magnitude/locality,No tactile; vision supplies relative pose and proactive action supplies observability,Sensor/component ablation; Controlled comparison; Failure analysis,"Full 89.5% vs no vision 46%, no RL 56%, no probing 33%; moved motherboard full 100%",Tables I–II p.6; Fig.5 p.4,"Manual parameters, limited generalization, discrete actions/error and POMDP state (§VII/§III)","End-to-end, new parts/robots, continuous actions (§VII p.6)",papers/2021-shi-proactive-visual-residual-rl.md
B075,Learning Non-Prehensile Manipulation With Force and Vision Feedback Using Optimization-Based Demonstrations,Yuki Shirai; Kei Ota; Devesh K. Jha; Diego Romeres,2026,"IEEE Robotics and Automation Letters 11(3), 2905–2912",Relevant,"Runtime current object GT 없이 wrist F/T, object segmentation, proprioception history로 object pose/size/mass/friction/contact state를 추정해 non-prehensile manipulation policy를 실행한다. Training privileged information, force/vision 역할, F/T-only 성립 가정과 sim-to-real 한계를 모두 직접 분석할 수 있다.",Planar non-prehensile pivoting and pushing,Reinforcement Learning; Optimization demonstrations; State Estimation,CITO-guided SAC + CNN/TCN privileged-information estimator,One/two 6-DoF MELFA robots with wrist 6-axis F/T and D435 camera,2D relative EEF position command,Operational Space Control in simulation; stiffness controller on hardware,Yes; FastSAM object segmentation,Tracking,Tracking,Training GT; deployment CNN/TCN estimate from segmentation + force/proprioception history,기타,Estimated object size from segmentation/history; no full mesh/category,Training GT and deployment estimates of mass and object/environment friction,No,No tactile sensor,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Wrist 6-axis F/T sensors; policy uses planar 2D forces,2D force; binary contact; 5-step history; force direction in reward,"Runtime policy observation, privileged-state estimation, dynamics reward",Yes; EEF position/robot state,Yes; 5 steps (0.5 s),Action smoothness reward uses previous action; estimator input not stated as action,CNN segmentation encoder + TCN privileged-state estimator,Segmentation mask; estimated object pose/properties/contact bits; goal pose,"Deployment GT pose, size, mass/friction and extrinsic contacts",Segmentation + wrist-force/EEF history + supervised estimator,Reconstruct privileged state and run unchanged base policy,Yes in training; estimator at deployment,Yes in training,Yes; object pose/contact/reference force,Yes; object goal state and step limit,Not stated; domain randomization used,No F/T-only localization; multimodal estimator predicts predefined extrinsic contact bits,Rigid quasi-static SE(2); known/predefined surfaces; camera+EEF+force; high friction; training coverage,Force-only weak under size uncertainty; sliding/slip and sim-real mismatch,No tactile; vision segmentation adds object geometry/pose context to global force history,Controlled comparison; Failure analysis; Estimator evaluation,Dynamics demos learn faster; RL tolerates -5 mm mismatch; estimator enables 5/5 unseen-object hardware trials,"Figs.3–6,8 and Tables I–III pp.5–7","Rigid/quasi-static SE(2), long-horizon estimator error, high-friction/slip and sliding sim-real gap (§VI)",Slip-aware/faster estimation-control; 3D/deformable/longer-horizon extension (§VI),papers/2026-shirai-non-prehensile-force-vision-demonstrations.md
B076,Sim-to-Real Model-Based and Model-Free Deep Reinforcement Learning for Tactile Pushing,Max Yang; Yijiong Lin; Alex Church; John Lloyd; Dandan Zhang; David A. W. Barton; Nathan F. Lepora,2023,"IEEE Robotics and Automation Letters, 8(9), 5480-5487",Relevant,"실행 중 외부 시각 없이 TacTip과 목표 정보만으로 미지 물체를 밀며, 원시 tactile image와 tactile-derived contact-surface pose를 직접 비교한다. current object center pose와 shape를 제공하지 않은 채 국소 접촉 자세와 목표 상대 관계로 폐루프 조작을 수행하므로, 축약 tactile 표현이 어떤 정보를 유지하고 무엇을 대신하는지에 직접 근거를 제공한다.",Goal-conditioned planar pushing of unknown objects,Reinforcement Learning; Model-based control,SAC; PETS probabilistic ensemble; CEM-MPC,Dobot MG400 with 331-pin TacTip,Δy and Δθ; fixed forward Δx=1 mm,Cartesian position control; receding-horizon MPC for model-based variant,No at execution; ArUco tracking for evaluation only,기타,기타,TacTip tactile image or PoseNet-derived local contact-surface pose; not object center pose,미제공,Not applicable,미제공; no mass/friction input,Yes,331-pin TacTip optical tactile sensor,Optical pin-motion tactile image; simulated depth rendering,Real-to-Sim pix2pix GAN or PoseNet CNN contact-pose estimation,"Translated tactile image; local contact-surface pose (x, y, angle)",Contact deformation pattern; or local contact location and surface orientation,"Pose representation removes detailed pin-level pattern; object center pose, full geometry and physical parameters unavailable",No,Not applicable,Not applicable,Not applicable,Yes,No,No,PoseNet tactile contact-pose estimator for pose variant,Goal-relative pusher/contact pose,Current object center pose; whole-object orientation; shape; physical parameters,Tactile contact pose/image; pusher pose; goal; online model-based replanning,Maintain and orient local contact while moving the contact point toward the goal,No,Not stated,Yes; simulator contact/goal pose,Yes during simulation; contact-goal distance,No,No,Not applicable,Not applicable,Not applicable,Representation ablation; Controlled comparison; Failure analysis,Tactile pose improves sample efficiency and unseen-contact robustness over image input; both are compared with model-based RL,"Table II, PDF p.5; Table III, PDF p.6; Fig. 7, PDF p.7",Fixed forward action limits nearby goal reachability and contact-surface exploration; autonomous no-vision resets unresolved,Remove action constraint; investigate real-world model-based learning and autonomous reset,papers/2023-yang-tactile-pushing.md
B078,Sim2Real Manipulation on Unknown Objects with Tactile-based Reinforcement Learning,Entong Su; Chengzhe Jia; Yuzhe Qin; Wenxuan Zhou; Annabella Macaluso; Binghao Huang; Xiaolong Wang,2024,"2024 IEEE International Conference on Robotics and Automation (ICRA), 9234-9241",Relevant,"두 DIGIT의 RGB, difference, binary tactile representation을 같은 pivoting 정책에서 직접 비교하며, tactile 제거·object-angle oracle·point-cloud vision까지 통제 비교한다. 실행 actor는 current object pose를 받지 않고 tactile, joint proprioception, target angle로 동작하므로 reduced tactile이 어떤 정보를 남기며 object state 부족을 어떻게 보완하는지에 직접 답한다.",In-hand pivoting to a target relative angle,Reinforcement Learning; Sim-to-real,PPO,Robot arm with parallel gripper and two DIGIT sensors,EEF translation in x-z plane and rotation about y axis,Not stated,No for proposed actor; point cloud is a baseline only,미제공,미제공,No current object pose; target angle only,미제공,Implicit tactile pattern and diverse-object training,미제공; randomized in simulation but not actor input,Yes,Two DIGIT vision-based tactile sensors,Two RGB tactile images,"RGB; force-free image difference to grayscale; sensor-specific threshold to Binary; flip, scaling and optional augmentation","Two 64x64 RGB, Diff or Binary tactile images encoded by shared CNN","Binary retains contact presence, location and spatial pattern",Binary removes color and continuous deformation/intensity; threshold may miss weak contact,No,Not applicable,Not applicable,Not applicable,Yes,No,No,No in proposed method; angle estimators are baselines,Target relative angle,"Current object position, orientation, geometry and physical parameters",Binary/Diff/RGB tactile pattern; joint proprioception; target angle; diverse-object prior,End-to-end contact-state feedback without explicit pose estimation,No,No; same feature as actor,"Yes; simulator contact, object position and angle",Not stated,No,No,Not applicable,Not applicable,Not applicable,Sensor ablation; Representation ablation; Controlled comparison; Failure analysis,Binary tactile outperforms RGB/Diff and no-tactile baselines in real pivoting; multi-category training improves generalization,"Table I, PDF p.5; Table II, PDF p.5; Sec. V-B-C, PDF p.6",Threshold can discard contact; unstable grip and unusual/incomplete contacts cause failures,Further integrate tactile feedback to refine manipulation strategy,papers/2024-su-sim2real-unknown-objects-tactile-rl.md
